Version;Kind;value
OpenCL;Second Stencil;1.532896
OpenCL;First Stencil;1.557152
OpenCL;Map;1.080288
SkelCL;Second Stencil;1.353024
SkelCL;First Stencil;1.430272
SkelCL;Map;1.345536
