performance
8.895302
11.717144
0
0
30.814188
0
0
0
0
0
0
0
0
0
13.590865
0
0
7.196050
3.046946
7.142073
0
0
0
0
37.595497
0
0
0
0
7.195087
3.046194
7.139435
37.668765
0
0
0
0
0
0
10.649875
0
0
0.901876
0
0
0
0
0
0
116.819964
0
0
0
0
1.382596
0
0
0
0
0
0
0
0
0
0
17.666922
0
0
0
0
0
0
117.834078
1.382809
23.297029
0
45.525931
0
0
0
0
0
0
0
0
0
0
0
5.669503
5.739678
2.465651
0
0
4.706303
0
1.026615
65.707455
0
0
0
0
0
0
0
117.787750
45.667200
130.270025
27.830666
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.382044
9.849229
0
0
0
0
1.010991
0
0
23.227490
0
0
0
0
0
0
0
0
118.029716
45.271393
130.249798
27.818852
0
0
0
0
0
40.902082
13.651600
65.067312
0
0
0
24.128908
0
0
118.013112
27.835838
0
0
0
0
0
45.130615
129.481802
0
0
0
0
45.283612
129.405899
0
0
0
0
130.245754
45.882011
0
129.361996
0
1.342666
3.978340
8.896774
17.930123
32.688067
40.950002
65.104681
92.679512
117.149513
119.410790
129.955198
